,frame_num,player_1_number_of_hits,player_1_total_hit_speed,player_1_last_hit_speed,player_1_total_player_speed,player_1_last_player_speed,player_2_number_of_hits,player_2_total_hit_speed,player_2_last_hit_speed,player_2_total_player_speed,player_2_last_player_speed,player_1_average_hit_speed,player_2_average_hit_speed,player_1_average_player_speed,player_2_average_player_speed
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
11,11,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
12,12,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
13,13,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
14,14,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
15,15,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
16,16,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
17,17,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
18,18,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
19,19,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
20,20,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
21,21,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
22,22,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
23,23,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
24,24,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
25,25,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
26,26,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
27,27,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
28,28,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
29,29,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
30,30,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
31,31,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
32,32,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
33,33,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
34,34,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
35,35,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
36,36,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
37,37,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
38,38,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
39,39,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
40,40,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
41,41,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
42,42,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
43,43,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
44,44,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
45,45,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
46,46,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
47,47,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
48,48,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
49,49,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
50,50,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
51,51,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
52,52,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
53,53,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
54,54,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
55,55,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
56,56,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
57,57,0.0,0.0,0.0,0.0,0.0,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,,inf,,3.789971318274356
58,58,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
59,59,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
60,60,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
61,61,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
62,62,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
63,63,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
64,64,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
65,65,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
66,66,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
67,67,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
68,68,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
69,69,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
70,70,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
71,71,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
72,72,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
73,73,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
74,74,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
75,75,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
76,76,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
77,77,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
78,78,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
79,79,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
80,80,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
81,81,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
82,82,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
83,83,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
84,84,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
85,85,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
86,86,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
87,87,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
88,88,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
89,89,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
90,90,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
91,91,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
92,92,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
93,93,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
94,94,1.0,5.879020464576923,5.879020464576923,0.21957081564838063,0.21957081564838063,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,5.879020464576923,20.358544283930488,0.21957081564838063,3.789971318274356
95,95,2.0,7.256202809851122,1.377182345274199,9.151772766950764,8.932201951302384,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,3.628101404925561,10.179272141965244,4.575886383475382,3.789971318274356
96,96,2.0,7.256202809851122,1.377182345274199,9.151772766950764,8.932201951302384,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,3.628101404925561,10.179272141965244,4.575886383475382,3.789971318274356
97,97,2.0,7.256202809851122,1.377182345274199,9.151772766950764,8.932201951302384,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,3.628101404925561,10.179272141965244,4.575886383475382,3.789971318274356
98,98,2.0,7.256202809851122,1.377182345274199,9.151772766950764,8.932201951302384,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,3.628101404925561,10.179272141965244,4.575886383475382,3.789971318274356
99,99,2.0,7.256202809851122,1.377182345274199,9.151772766950764,8.932201951302384,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,3.628101404925561,10.179272141965244,4.575886383475382,3.789971318274356
100,100,2.0,7.256202809851122,1.377182345274199,9.151772766950764,8.932201951302384,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,3.628101404925561,10.179272141965244,4.575886383475382,3.789971318274356
101,101,2.0,7.256202809851122,1.377182345274199,9.151772766950764,8.932201951302384,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,3.628101404925561,10.179272141965244,4.575886383475382,3.789971318274356
102,102,2.0,7.256202809851122,1.377182345274199,9.151772766950764,8.932201951302384,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,3.628101404925561,10.179272141965244,4.575886383475382,3.789971318274356
103,103,2.0,7.256202809851122,1.377182345274199,9.151772766950764,8.932201951302384,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,3.628101404925561,10.179272141965244,4.575886383475382,3.789971318274356
104,104,2.0,7.256202809851122,1.377182345274199,9.151772766950764,8.932201951302384,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,3.628101404925561,10.179272141965244,4.575886383475382,3.789971318274356
105,105,2.0,7.256202809851122,1.377182345274199,9.151772766950764,8.932201951302384,1.0,20.358544283930488,20.358544283930488,3.789971318274356,3.789971318274356,3.628101404925561,10.179272141965244,4.575886383475382,3.789971318274356
